region,date,duration_h,total_eue_mwh,peak_eue_mwh,peak_total_mismatch
p99,2009-01-15,18,90652.818,14287.795,False
p123,2019-01-28,4,2025.643,1232.496,False
p113,2009-01-15,17,5193.234,1034.892,True
p126,2019-01-28,30,5699.894,909.663,True
p118,2009-01-15,18,3847.615,680.334,True
p111,2019-01-28,4,1075.837,621.276,False
p125,2019-01-28,29,3470.733,374.212,False
p124,2017-01-07,21,1206.287,85.484,True
p114,2022-12-19,7,95.056,39.68,True
p100,2009-01-15,4,52.553,25.981,False
p112,2019-01-28,3,27.34,23.627,False
p109,2022-12-19,6,13.836,4.878,False
p117,2019-01-28,2,2.628,1.589,False
p120,2009-01-16,1,1.446,1.446,False
